speaker_id,text,timestamp,event_type
noaa_event_1165206,An NWS Employee estimated 6 inches of snow by 222pm on the 27th with variable coverage due to blowing and drifting. By the following morning there was a range of 8.6 inches total measured in town and 12.6 inches at the WSO. The Metlakatla Seaplane Base measured gusts of 20 to 30 mph with visibility down to a quarter mile briefly.,2024,Winter Storm
noaa_event_1229926,Heavy rainfall of around 5 inches in less than 2 hours produced flooding of Morton Street on the bayside of Grassy Key.  Water depths of 4 to 8 inches were observed inside two ground floor homes.  An automated haptic rain gauge calculated a peak instantaneous rainfall rate of 5.34 inches per hour.,2024,Flood
noaa_event_1152424,"A prolonged period of light freezing rain, with total ice accretion between one-tenth and one-quarter of an inch, resulted in slick and hazardous travel conditions/roadways. Numerous vehicle accidents were reported throughout the county, resulting in at least two minor injuries.",2024,Winter Weather
noaa_event_1219083,Several inches of standing water due to runoff from a passing thunderstorm was observed along the 1000 block of Green Level Road. This a location that frequently floods during heavy rain.,2024,Flood
noaa_event_1158465,An estimated 5 to 7 inches of snow fell across the county. This included a report of 5 inches of snow out of Norfolk. Peak wind gusts across the county were estimated to be between 40 and 50 miles per hour. This included a 49 mile per hour wind gust measured at the Norfolk airport. Strong and gusty winds brought periods of near-blizzard conditions across the county throughout this event. Significant blowing and drifting snow continued well after the snow stopped falling due to persistent strong wind on the back side of the storm system.,2024,Winter Storm
noaa_event_1169777,Multiple bands of snow moved through and produced generally 6 to 8 inches of heavy wet snow and 35 mph wind gusts across much of the county.,2024,Winter Storm
noaa_event_1182476,An estimated one hundred trees were blown down by thunderstorm winds in the Max Meadows area. One of the downed trees caused severe damage to a single-wide trailer and a vehicle. Members of the public also reported that hundreds of tree limbs and several large tree limbs were downed by thunderstorm winds in Carters Park off Lee Highway.,2024,Thunderstorm Wind
noaa_event_1175349,"Several consecutive days of rain led to flooding and road closures in parts of Clearfield County on April 3, 2024. Impacts include: the closure of PA-53 in Irvona Borough, PA-219 in Mahaffey Borough and PA-219 in Burnside Township. Additionally, a home's basement was flooded nearly to the first floor and the residents were displaced in Pike Township.",2024,Flood
noaa_event_1221493,"Brevard County Emergency Management reported significant urban, street, and low-lying flooding as a result of widespread rainfall totals of 4 to 9 inches in association with Hurricane Milton. A period of very heavy rainfall rates associated with the core of the storm led to flash flooding during the overnight period (Oct 9 - 10). County officials indicated damage to residential and county infrastructure was minimal.",2024,Flood
noaa_event_1157242,A broad area of precipitation overspread a below freezing airmass over the Missouri Ozarks. The combination of cold temperatures and precipitation produced widespread reports of a glaze to 0.15 of an inch of ice. Roads were impacted and schools closed.,2024,Winter Weather
noaa_event_1197725,"With the increased monsoonal moisture at midlevels, scattered showers and thunderstorms built on the higher terrain near Cortez. Dry surface levels acted to enhance outflow winds as storms moved overhead. These storms eventually moved over Cortez, they produced gusts to 58 mph at the KCEZ ASOS at Cortez-Montezuma Airport in Cortez. Gusts to 58 mph were recorded twice, once at 1:02 PM MDT and again at 1:09 PM MDT.",2024,Thunderstorm Wind
noaa_event_1213582,"A slow-moving storm near Gladys and produced over four inches of rain in less than 90 minutes. Rainfall rates during the storm at times exceeded four inches per hour. Crest Unit Streamflow maxed out at over 700 cfs/mi^2, an indication of a high potential for significant flooding. The one-hour Average Recurrence Interval for this event was about a 100-year event for MRMS FLASH data.  Suck Creek overflowed its banks and flowed several inches deep across Mollies Creek Road.  No damage was reported to the road, and it was reopened to traffic after the water receded.",2024,Flash Flood
noaa_event_1183802,The lightning caused Mestenas Canyon Wildfire was located roughly 12 miles southwest of Dulce along U.S. Highway 64. The fire grew to 837 acres reaching its containment lines by July 25th.,2024,Wildfire
noaa_event_1166197,Storm total snow accumulations ranged from 6 to 10 inches. Frequent wind gusts of 30 to 35 mph produced extensive blowing and drifting snow...with near blizzard conditions at times.,2024,Winter Storm
noaa_event_1209260,"Heavy rains in Anchorage caused rapid rises on streams in the city.  Chester Creek rose just over moderate flood stage with a crest of 5.03 ft on 8/7/24 at 11:45pm, with a secondary crest of 5.05 ft at 11:45am on 8/8/24.  The high waters on Chester Creek severely flooded trails along the creek and encroached on homes near Chester Creek just immediately east of Arctic Blvd.  In addition, Anchorage OEM sent out pumps to protect homes along 19th Ave. between Spenard Rd and Arctive Blvd due to flooding concerns.",2024,Flood
noaa_event_1169890,"The astronomical tide in Portland was 11.3 feet MLLW at 11:41 am. Flood stage is 12 feet MLLW. The easterly gales produced a storm surge of two feet in Portland Harbor. The storm tide topped out at 13.32 feet MLLW in the Forest City with the tide remaining above flood stage for a full two hours and 46 minutes (10:08 am - 12:56 pm). The tidal flooding was exasperated by fresh water flooding in estuaries due to runoff from heavy rainfall.  The temporary new tide gauge at the Gulf of Maine Research Institute (GMRI) in Portland reached 13.4 feet MLLW. Across the southern tip of Maine at the relatively new Seavey Island gauge, the tide reached 11.97 feet at 11:48 am. The storm surge was recorded at two feet as well. ||In terms of inundation along the southwest coast of Maine, area homes were flooded in Kennebunk along with the closure of Beach Ave and Bayberry Rd. Flooding occurred along Main Avenue in the Camp Ellis area of Saco. Old Orchard had flooding waters into their main square and the community of Ocean Park flooded for the third time this year.",2024,Coastal Flood
noaa_event_1172269,"Due to downburst winds, a couple of power poles snapped and a metal roof was blown off of a large building along US 45 south of County Road 620 N.",2024,Thunderstorm Wind
noaa_event_1173846,This tornado moved into Lincoln County from Pottawatomie County and produced tree damage southeast of Prague before moving into Okfuskee County south of US Highway 62. See information for Eastern Oklahoma from the NWS Tulsa for the Okfuskee County portion of this tornado.,2024,Tornado
noaa_event_1159398,Thunderstorms produced heavy rain that led to flash flooding closing several low water crossings in the Schulenburg area.,2024,Flash Flood
noaa_event_1170690,"Many SNOTEL sites recorded 2 to 3 feet of snow with snowfall rates on the order of 3/hr.  Snow of this magnitude, coupled with winds gusting 50-85 mph at pass elevation, resulted in hazardous driving conditions.",2024,Blizzard
noaa_event_1218190,"Broadcast media reported that lightning struck a transformer in the 6800 block of Tyler Street in Hollywood, which knocked down a power line onto a home and started a fire. The fire caused significant damage to the home and property. The residents of the home were able to get out safely. Time is approximate and is based on the timing of a severe thunderstorm that was affecting the area at the time, as well as from National Lightning Detection Network data showing several cloud-to-ground strikes in close proximity.",2024,Lightning
noaa_event_1179716,A storm survey indicated a microburst with winds estimated at 100 mph downed and snapped many trees in a wooded area near Seekonk High School and in a school courtyard which caused damage to the roof.,2024,Thunderstorm Wind
noaa_event_1187971,"A suspected microburst caused damage along West Legends Way on Fort Cavazos. A display helicopter was turned over, large tree limbs were broken, power poles were knocked down and a few street signs were bent. At the firing range to the north, metal stands were moved and outhouses were knocked over.",2024,Thunderstorm Wind
noaa_event_1202413,Heavy rain led to minor river flooding on the White River at Batesville. The White River at Batesville crested exactly at 0000 LST on July 18th at a stage of 15.45 feet.,2024,Flood
noaa_event_1155237,"Drought that developed last summer continued into the new year across Oneida County. During the month, all but the far northeast portion of the county was designated in Severe Drought (D2). The far northeast portion of the county was designated in Moderate Drought (D1). For much of the winter, the snow depth was considerably lower than normal due to the unseasonably mild weather and lack of precipitation. The monthly precipitation total at|Rhinelander was 0.88 inches, which was 0.32 inches below normal or 72% of normal. |Snowfall for the month was 11.5 inches, which was only 2.3 inches below normal or 83% of normal.",2024,Drought
noaa_event_1164265,D2 Severe Drought persisted across the southeastern corner of the county to begin the month. A large system during the middle of the month brought significant precipitation to the county which led to the removal of D2 Severe Drought across the entirety of the county with the update on the 26th. Precipitation for the month was up to one inch above normal.,2024,Drought
