speaker_id,text,timestamp
osmi2014_r0612,I went through a divorce and was pretty depressed I went to therapy and my boss (one of the owners) was extremely supportive. I'm not sure I would have got through that rough time with out my co-workers and boss.,2014
osmi2014_r0180,In small startups it is very hard to keep mental health issues truly private no matter what management does.,2014
osmi2014_r1078,This survey was tough as a self-employed individual. You may wish to discard responses from self employed people for much of your analysis.,2014
osmi2014_r0515,I work for an extremely supportive company and we are amazingly open about mental health issues. Employees often share their struggles with the whole team and receive a high level of support in return.,2014
osmi2014_r0218,I tried to answer as good as possible but I am CEO of a company so many questions don't fit very well.Also many of the questions are very US-centric in most systems healthcare is not your employers business.,2014
osmi2014_r0900,A lot of these answers aren't really applicable since I'm self employed as a sole proprietor.,2014
osmi2014_r0311,The thought of going through my employer directly to get help is fucking scary.Getting help is the hardest part of getting help.,2014
osmi2014_r0027,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better,2014
osmi2014_r0401,Being in Canada there are several health options that are available to Canadian citizens/perm residents for free so employers may not provide resources because they are available elsewhere. Otherwise good quiz. I hope this benefits everyone who's dealt with mental health issues in the past!,2014
osmi2014_r0593,It has come to interfere with work as life progresses.Between burn out and enduring more of the work and balancing a family. Changes in my mental health have a larger pond to make ripples in.,2014
osmi2014_r1052,I should note one of the places my employer fails with regards to mental health is that the company-paid health insurance policy does not cover trans healthcare needs.,2014
osmi2014_r1080,If a man in tech is afraid of speaking up about these things it is even worse for women in tech who are already fearful of and fighting against the stigma of incompetence.  On the other hand if a female in tech does not commiserate with her male coworkers on mental health problems she will no longer be seen as a team player. It is really a catch-22 for women in STEM.,2014
osmi2014_r0247,I have only discussed my mental illness with close family members. I feel completely uncomfortable discussing with anyone at my place of employment as I am concerned it would have negative consequences.,2014
osmi2014_r0559,I'm afraid I haven't seen mental health issues arise at work yet. They are very accommodating with maternity leave but I don't know how that translates to anything else.,2014
osmi2014_r0490,Israel has public health insurance for everyone. Everyone has free mental health coverage and it's quite good. So that explains some of my answers.,2014
osmi2014_r0179,I am not sure about my company's healthcare because I've opted out of it and I'm covered under another policy.I currently work at a great company though in past jobs I don't think I would have felt comfortable talking about mental health at all.,2014
